Subscription,Status,Snapshot,Error
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0118aa,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0118ab,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01194d,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01194c,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0118d7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011942,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0118ac,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01194f,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01194e,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011951,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011954,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01196b,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01196c,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0119e4,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0119b1,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01196e,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01196d,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a44,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0119b2,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a05,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0119e8,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011aaa,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a61,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011aac,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011aab,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011bcb,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011aa9,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011b3d,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgv011dcc,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_sgm010cc7,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_dgv011dcd,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_sgm01125c,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_zduwdvcoconfdev001,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_zsuwdvcoconfstg001,
az-core-nonprod-01,deleted,RH_PATCH_CHG0632803_zduwdvcoconfdev002,
az-entaks-nonprod-02,deleted,RH_PATCH_CHG0632803_dgm010e72,
az-phiapp-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01117e,
az-entaks-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011291,
az-entaks-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm0110a0,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011831,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a55,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a56,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a5e,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a5f,
az-resibm-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a60,
az-entapp-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01187d,
az-entapp-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm01187e,
az-entapp-nonprod-01,deleted,RH_PATCH_CHG0632803_dgm011a74,
